token	corpus size	all contexts size	frequency	co-frequency	specificity
complexe	46146	35999	4	4	0.43
parvenir	46146	35999	4	4	0.43
rez	46146	35999	4	4	0.43
chaussée	46146	35999	4	4	0.43
Puech	46146	35999	4	4	0.43
gravures	46146	35999	4	4	0.43
relativement	46146	35999	4	4	0.43
préf	46146	35999	4	4	0.43
Françoise	46146	35999	4	4	0.43
Denoyelle	46146	35999	4	4	0.43
Alexis	46146	35999	4	4	0.43
intr	46146	35999	4	4	0.43
invention	46146	35999	4	4	0.43
Blog	46146	35999	4	4	0.43
conducteur	46146	35999	4	4	0.43
Leur	46146	35999	4	4	0.43
futur	46146	35999	4	4	0.43
Valeurs	46146	35999	4	4	0.43
Sensibilité	46146	35999	4	4	0.43
Philosophes	46146	35999	4	4	0.43
Représentants	46146	35999	4	4	0.43
Diffusion	46146	35999	4	4	0.43
Perception	46146	35999	4	4	0.43
rationalisme	46146	35999	4	4	0.43
devait	46146	35999	4	4	0.43
haut	46146	35999	4	4	0.43
permise	46146	35999	4	4	0.43
moment	46146	35999	4	4	0.43
vis	46146	35999	4	4	0.43
droits	46146	35999	4	4	0.43
réalisée	46146	35999	4	4	0.43
substantif	46146	35999	4	4	0.43
singulier	46146	35999	4	4	0.43
écouter	46146	35999	4	4	0.43
culturelle	46146	35999	4	4	0.43
Ondes	46146	35999	4	4	0.43
étroitement	46146	35999	4	4	0.43
minutes	46146	35999	4	4	0.43
Broglie	46146	35999	4	4	0.43
PEPR	46146	35999	4	4	0.43
innovations	46146	35999	4	4	0.43
explorer	46146	35999	4	4	0.43
contrôler	46146	35999	4	4	0.43
Ensuite	46146	35999	4	4	0.43
exploratoire	46146	35999	4	4	0.43
façonner	46146	35999	4	4	0.43
informations	46146	35999	4	4	0.43
affirmation	46146	35999	4	4	0.43
relation	46146	35999	4	4	0.43
Propriétés	46146	35999	4	4	0.43
plage	46146	35999	4	4	0.43
expliqués	46146	35999	4	4	0.43
examiné	46146	35999	4	4	0.43
luminance	46146	35999	4	4	0.43
apporte	46146	35999	4	4	0.43
mercure	46146	35999	4	4	0.43
émettant	46146	35999	4	4	0.43
obtenir	46146	35999	4	4	0.43
décomposant	46146	35999	4	4	0.43
compréhension	46146	35999	4	4	0.43
véhicule	46146	35999	4	4	0.43
allumées	46146	35999	4	4	0.43
Agir	46146	35999	4	4	0.43
bons	46146	35999	4	4	0.43
anges	46146	35999	4	4	0.43
femme	46146	35999	4	4	0.43
inventé	46146	35999	4	4	0.43
Audrey	46146	35999	4	4	0.43
Conduit	46146	35999	4	4	0.43
Réflecteur	46146	35999	4	4	0.43
show	46146	35999	4	4	0.43
cadeaux	46146	35999	4	4	0.43
mainEntityOfPage	46146	35999	4	4	0.43
ssl	46146	35999	4	4	0.43
taxonomy	46146	35999	4	4	0.43
bull	46146	35999	4	4	0.43
quatre	46146	35999	4	4	0.43
wgCanonicalNamespace	46146	35999	4	4	0.43
wgCanonicalSpecialPageName	46146	35999	4	4	0.43
wgNamespaceNumber	46146	35999	4	4	0.43
wgPageName	46146	35999	4	4	0.43
